time [sec], angle [deg], angle velocity [deg/sec]
0,200,0,0
0.01,199.745,-50.8808,43.3492
0.02,198.987,-100.44,41.9379
0.03,197.74,-148.584,40.2782
0.04,196.02,-195.221,38.4176
0.05,193.841,-240.27,36.407
0.06,191.22,-283.652,34.2964
0.07,188.174,-325.296,32.1313
0.08,184.72,-365.137,29.9507
0.09,180.878,-403.116,27.7851
0.1,176.664,-439.18,25.6568
0.11,172.1,-473.281,23.5795
0.12,167.205,-505.379,21.5584
0.13,162,-535.44,19.5909
0.14,156.504,-563.434,17.6658
0.15,150.738,-589.339,15.7622
0.16,144.724,-613.137,13.8464
0.17,138.482,-634.818,11.865
0.18,132.035,-654.376,9.73032
0.19,125.402,-671.81,7.28859
0.2,118.605,-687.127,4.23801
0.21,111.666,-700.336,-0.114663
0.22,104.606,-711.454,-7.81912
0.23,97.4442,-720.501,-28.8801
0.24,90.2025,-727.503,-1498.76
0.25,82.9008,-732.49,54.687
0.26,75.5592,-735.496,32.0286
0.27,68.1974,-736.56,24.3096
0.28,60.8344,-735.726,20.2876
0.29,53.489,-733.038,17.7643
0.3,46.1796,-728.548,16.0137
0.31,38.9239,-722.31,14.727
0.32,31.7391,-714.379,13.7514
0.33,24.6418,-704.817,13.0035
0.34,17.648,-693.685,12.4355
0.35,10.7731,-681.048,12.0194
0.36,4.0318,-666.975,11.7393
0.37,-2.56185,-651.534,11.5876
0.38,-8.99455,-634.797,11.5632
0.39,-15.2537,-616.836,11.6701
0.4,-21.3274,-597.727,11.9174
0.41,-27.2047,-577.544,12.3196
0.42,-32.875,-556.364,12.8972
0.43,-38.3289,-534.265,13.6783
0.44,-43.5575,-511.323,14.7005
0.45,-48.5528,-487.618,16.0147
0.46,-53.3076,-463.228,17.6899
0.47,-57.8153,-438.229,19.8214
0.48,-62.0704,-412.702,22.544
0.49,-66.0678,-386.722,26.0537
0.5,-69.8036,-360.366,30.6466
0.51,-73.2742,-333.711,36.7899
0.52,-76.477,-306.831,45.2667
0.53,-79.4103,-279.8,57.4928
0.54,-82.0728,-252.689,76.3125
0.55,-84.4641,-225.571,108.393
0.56,-86.5844,-198.514,173.847
0.57,-88.4348,-171.586,374.285
0.58,-90.0168,-144.851,-34059.9
0.59,-91.3327,-118.375,-422.944
0.6,-92.3853,-92.2167,-230.239
0.61,-93.1783,-66.4369,-167.483
0.62,-93.7155,-41.0917,-138.055
0.63,-94.0017,-16.2356,-122.732
0.64,-94.042,8.07961,-115.526
0.65,-93.8421,31.8048,-114.657
0.66,-93.4081,54.8934,-120.885
0.67,-92.7465,77.3015,-138.917
0.68,-91.8644,98.9881,-187.394
0.69,-90.7693,119.915,-410.356
0.7,-89.4688,140.046,529.971
0.71,-87.9711,159.35,121.046
0.72,-86.2846,177.796,56.3098
0.73,-84.4181,195.358,30.896
0.74,-82.3805,212.011,17.7916
0.75,-80.181,227.735,10.0581
